date,flow_start,durat,prot,src_ip_addr,src_port,dst_ip_addr,dst_port,flags,tos,packets,bytes,flows,label
15/08/2011,16:43:20.931,235,TCP,147.32.84.59,64131,164.8.32.159,54992,PA_,0,3,211,1,Background
15/08/2011,16:43:20.933,4993,TCP,41.143.58.184,1328,147.32.86.179,58675,PA_,0,269,29373,1,Background
15/08/2011,16:43:20.933,187,TCP,147.32.86.155,51273,204.154.94.81,80,FA_,0,2,132,1,Background
15/08/2011,16:43:20.933,4961,TCP,147.32.86.179,58675,41.143.58.184,1328,PA_,0,141,9412,1,Background
15/08/2011,16:43:20.933,4961,TCP,147.32.86.179,58675,151.42.234.124,50001,PA_,0,157,23327,1,Background
15/08/2011,16:43:20.934,189,TCP,147.32.86.155,51269,204.154.94.81,443,FPA_,0,3,235,1,Background
15/08/2011,16:43:20.934,186,TCP,147.32.86.155,51268,204.154.94.81,443,FPA_,0,3,235,1,Background
15/08/2011,16:43:20.935,4992,UDP,151.51.231.119,23943,147.32.86.44,10966,INT,0,255,58227,1,Background
15/08/2011,16:43:20.935,4931,TCP,147.32.86.44,10966,61.245.172.61,12036,PA_,0,16,1125,1,Background
15/08/2011,16:43:20.936,965,TCP,189.84.49.111,44450,147.32.84.229,13363,PA_,0,3,472,1,Background
15/08/2011,16:43:20.937,0,UDP,147.32.84.229,13363,66.56.30.27,17926,INT,0,1,95,1,Background
15/08/2011,16:43:20.937,0,UDP,147.32.84.229,13363,81234199128,51186,INT,0,1,95,1,Background
15/08/2011,16:43:20.937,4896,TCP,207.200.96.138,80,147.32.85.7,38459,PA_,0,43,65102,1,Background
15/08/2011,16:43:20.938,0,UDP,86.52.158.60,13607,147.32.84.229,13363,INT,0,1,60,1,Background
15/08/2011,16:43:20.938,3158,TCP,147.32.84.59,7728,174.121.79.174,80,_FSPA,0,4,452,1,Background
15/08/2011,16:43:20.938,3159,TCP,147.32.84.59,7728,174.121.79.174,80,RPA_,0,5,831,1,Background
15/08/2011,16:43:20.939,0,TCP,74125232193,80,147.32.86.165,60821,PA_,0,1,299,1,Background
15/08/2011,16:43:20.940,4973,TCP,151.42.234.124,50001,147.32.86.179,58675,PA_,0,147,19910,1,Background
15/08/2011,16:43:20.944,4977,TCP,195.34.208.134,1992,147.32.84.171,6881,PA_,0,293,18704,1,Background
15/08/2011,16:43:20.945,4981,TCP,147.32.84.171,6881,195.34.208.134,1992,A_,0,487,737318,1,Background
15/08/2011,16:43:20.948,0,UDP,147.32.84.59,50610,147.32.80.9,53,INT,0,1,83,1,Background
15/08/2011,16:43:20.949,0,UDP,147.32.96.69,46869,147.32.84.174,5081,INT,0,1,1506,1,Background
15/08/2011,16:43:20.949,0,ICMP,NULL,NULL,NULL,NULL,URP,0,1,590,1,Background
15/08/2011,16:43:20.949,0,UDP,147.32.96.69,36154,147.32.84.181,5000,INT,0,1,1506,1,Background
15/08/2011,16:43:20.949,4987,TCP,88.103.40.117,37378,147.32.84.59,50627,A_,0,193,289218,1,Background
15/08/2011,16:43:20.950,0,TCP,205.188.11.62,443,147.32.84.189,43309,A_,0,1,60,1,Background
15/08/2011,16:43:20.950,0,TCP,64.12.73.166,443,147.32.84.189,47820,A_,0,1,60,1,Background
15/08/2011,16:43:20.950,0,TCP,64.12.68.229,443,147.32.84.189,46796,A_,0,1,60,1,Background
15/08/2011,16:43:20.953,4903,TCP,147.32.85.7,38459,207.200.96.138,80,A_,0,26,1566,1,Background
15/08/2011,16:43:20.960,579,TCP,216.93.180.52,80,147.32.86.186,7277,PA_,0,7,2582,1,Background
15/08/2011,16:43:20.961,3151,TCP,147.32.86.183,52560,195.168.10.171,80,SRPA_,0,5,894,1,Background
15/08/2011,16:43:20.964,4781,TCP,151.45.83.5,51766,147.32.84.229,13363,SPA_,0,16,2081,1,Background
15/08/2011,16:43:20.964,4501,TCP,147.32.84.229,13363,151.45.83.5,51766,SPA_,0,13,959,1,Background
15/08/2011,16:43:20.965,0,UDP,147.32.80.9,53,147.32.84.59,50610,INT,0,1,192,1,Background
15/08/2011,16:43:20.966,49,TCP,93.223.99.225,49161,147.32.84.229,13363,PA_,0,2,127,1,Background
15/08/2011,16:43:20.966,4991,UDP,147.32.86.44,10966,61.245.172.61,36812,INT,0,251,58329,1,Background
15/08/2011,16:43:20.966,220,TCP,147.32.84.229,13363,93.223.99.225,49161,PA_,0,2,129,1,Background
15/08/2011,16:43:20.967,0,TCP,147.32.84.229,80,151.81.137.148,50529,SA_,0,1,62,1,Background
15/08/2011,16:43:20.967,546,TCP,147.32.84.229,443,212.71.132.10,37423,PA_,0,4,243,1,Background
15/08/2011,16:43:20.969,4984,UDP,147.32.86.179,58675,41.143.58.184,7255,INT,0,127,16072,1,Background
15/08/2011,16:43:20.969,0,TCP,74125232202,443,147.32.84.21,59122,PA_,0,1,147,1,Background
15/08/2011,16:43:20.971,331,TCP,147.32.84.59,50918,65.55.17.39,80,SPA_,0,4,728,1,Background
15/08/2011,16:43:20.971,3139,TCP,147.32.86.183,52560,195.168.10.171,80,_FSPA,0,4,549,1,Background
15/08/2011,16:43:20.975,1013,TCP,147.32.85.76,4382,77.75.77.170,993,FPA_,0,16,1336,1,Background
15/08/2011,16:43:20.975,0,TCP,76.13.114.90,80,147.32.84.59,54016,FPA_,0,2,817,1,Background
15/08/2011,16:43:20.976,4961,TCP,147.32.84.59,50627,88.103.40.117,37378,PA_,0,132,10344,1,Background
15/08/2011,16:43:20.977,0,TCP,147.32.84.59,54016,76.13.114.90,80,RA_,0,2,120,1,Background
15/08/2011,16:43:20.978,0,UDP,81234199128,51186,147.32.84.229,13363,INT,0,1,472,1,Background
15/08/2011,16:43:20.981,4874,TCP,147.32.84.59,60916,194.79.54.46,80,PA_,0,6,927,1,Background
15/08/2011,16:43:20.982,209,TCP,68.233.5.80,80,147.32.84.59,7729,SPA_,0,3,329,1,Background
15/08/2011,16:43:20.982,409,TCP,147.32.84.59,7729,68.233.5.80,80,PA_,0,3,671,1,Background
15/08/2011,16:43:20.983,4140,TCP,147.32.84.229,13363,129.27.12.3,1382,PA_,0,2,120,1,Background
15/08/2011,16:43:20.983,1006,TCP,77.75.77.170,993,147.32.85.76,4382,FRPA_,0,23,12044,1,Background
15/08/2011,16:43:20.989,271,TCP,147.32.84.59,64272,76.13.114.90,80,FSPA_,0,5,699,1,Background
15/08/2011,16:43:20.998,0,UDP,87.86.241.50,19956,147.32.84.229,13363,INT,0,1,473,1,Background
15/08/2011,16:43:21.000,0,UDP,147.32.84.229,13363,87.86.241.50,19956,INT,0,1,60,1,Background
15/08/2011,16:43:21.000,342,TCP,147.32.84.229,13363,90202171134,52054,PA_,0,2,122,1,Background
15/08/2011,16:43:21.003,0,TCP,74125232213,443,147.32.84.59,49271,PA_,0,2,575,1,Background
15/08/2011,16:43:21.007,0,UDP,93.88.49.134,14112,147.32.84.229,13363,INT,0,1,187,1,Background
15/08/2011,16:43:21.007,0,UDP,147.32.84.229,13363,93.88.49.134,14112,INT,0,1,62,1,Background
15/08/2011,16:43:21.013,4230,TCP,109.80.225.83,49708,147.32.84.171,57116,PA_,0,110,159540,1,Background
15/08/2011,16:43:21.013,4230,TCP,147.32.84.171,57116,109.80.225.83,49708,A_,0,95,5700,1,Background
15/08/2011,16:43:21.020,7,TCP,147.32.86.183,52561,88.86.101.2,80,SRPA_,0,5,780,1,Background
15/08/2011,16:43:21.021,8,TCP,147.32.86.183,52562,77.78.109.75,80,SRPA_,0,5,815,1,Background
15/08/2011,16:43:21.021,4,TCP,147.32.86.183,52561,88.86.101.2,80,_FSPA,0,4,692,1,Background
15/08/2011,16:43:21.022,6,TCP,147.32.86.183,52562,77.78.109.75,80,_FSPA,0,3,416,1,Background
15/08/2011,16:43:21.022,4496,TCP,74125108212,80,147.32.84.118,60978,PA_,0,270,407796,1,Background
15/08/2011,16:43:21.024,0,TCP,74.125.43.16,993,147.32.84.59,33350,PA_,0,1,99,1,Background
15/08/2011,16:43:21.039,0,UDP,86.38.88.185,64420,147.32.84.229,13363,INT,0,1,176,1,Background
15/08/2011,16:43:21.039,0,UDP,147.32.84.229,13363,86.38.88.185,64420,INT,0,1,62,1,Background
15/08/2011,16:43:21.047,4538,TCP,151.82.110.65,51607,147.32.84.229,13363,PA_,0,5,356,1,Background
15/08/2011,16:43:21.047,4109,TCP,147.32.84.229,13363,151.82.110.65,51607,PA_,0,4,327,1,Background
15/08/2011,16:43:21.047,0,UDP,41214109150,12943,147.32.84.229,13363,INT,0,1,72,1,Background
15/08/2011,16:43:21.048,0,UDP,147.32.84.229,13363,41214109150,12943,INT,0,1,60,1,Background
15/08/2011,16:43:21.061,0,UDP,147.32.84.7,33287,169.229.70.201,123,INT,0,1,90,1,Background
15/08/2011,16:43:21.067,4124,TCP,209.85.149.95,443,147.32.84.59,53176,FPA_,0,4,326,1,Background
15/08/2011,16:43:21.069,4122,TCP,209.85.149.95,443,147.32.84.59,53178,FPA_,0,4,326,1,Background
15/08/2011,16:43:21.077,454,TCP,147.32.84.229,13363,189.84.49.111,44450,PA_,0,3,1467,1,Background
15/08/2011,16:43:21.077,3062,TCP,147.32.84.229,13363,82.103.138.49,63688,PA_,0,13,1059,1,Background
15/08/2011,16:43:21.079,1080,TCP,74125232220,80,147.32.86.165,61112,SPA_,0,37,47447,1,Background
15/08/2011,16:43:21.081,4107,TCP,209.85.149.95,443,147.32.84.59,53177,FPA_,0,4,326,1,Background
15/08/2011,16:43:21.085,4867,UDP,147.32.84.59,64784,111.233.63.58,48867,INT,0,2,144,1,Background
15/08/2011,16:43:21.089,0,UDP,147.32.84.138,35330,84.42.234.250,123,INT,0,1,90,1,Background
15/08/2011,16:43:21.094,274,TCP,147.32.84.59,64272,76.13.114.90,80,_FSPA,0,4,841,1,Background
15/08/2011,16:43:21.095,0,UDP,111.254.46.231,43271,147.32.85.114,37632,INT,0,1,60,1,Background
15/08/2011,16:43:21.096,636,TCP,147.32.84.229,13363,129.11.229.180,49267,PA_,0,4,241,1,Background
15/08/2011,16:43:21.097,0,UDP,147.32.84.229,13363,200.106.220.38,16179,INT,0,1,99,1,Background
15/08/2011,16:43:21.097,3022,UDP,65.191.28.68,1024,147.32.84.229,500,INT,0,2,188,1,Background
15/08/2011,16:43:21.099,0,TCP,205.188.10.238,5190,147.32.84.59,59017,PA_,0,1,473,1,Background
15/08/2011,16:43:21.099,0,UDP,66.56.30.27,17926,147.32.84.229,13363,INT,0,1,472,1,Background
15/08/2011,16:43:21.099,0,TCP,147.32.84.59,59017,205.188.10.238,5190,A_,0,1,60,1,Background
15/08/2011,16:43:21.101,0,UDP,84.42.234.250,123,147.32.84.138,35330,INT,0,1,90,1,Background
15/08/2011,16:43:21.102,66,TCP,147.32.85.34,143,85.71.203.162,41304,PA_,0,5,659,1,Background
